# Inputs `services/name_rules.normalize_nfc` normalises differently from OTP.
# Each line is `INPUT<TAB>WHAT-WE-PRODUCE`, both comma-separated hex.
#
# Keyed on the OUTPUT as well as the input. Keying on the input alone exempted
# a quarter of the corpus from output checking entirely: deleting the
# `previous_ccc == 0` clause from `_compose` — the whole point of that function
# — left `check.py` at exit 0, because the rows it broke were already listed
# for a different reason. `check.py` also asserts this file's row count.
#
# Rows are DEDUPED. An earlier revision listed 24 signatures twice, every one
# `1100..1117,AC00,11A7`, produced where two generators in probe.exs overlap.
# `check.py` compares deduped to deduped, so it could not see a row listed
# twice. The count in the banner below is the unique one, and is the figure
# `check.py` asserts against.
#
# ==========================================================================
#   17423 unique diverging signatures out of 72269 corpus rows.
#
#     group 1       32   composition rule (base, mark, class-zero, lower mark)
#     group 2A     616   jamo lead + non-Hangul two-part vowel
#     group 2B   15652   jamo lead + precomposed Hangul syllable
#     group 2C     126   jamo lead + bare jamo  (REVERSE direction of 2B)
#     group 2D     997   OTP deletes U+11A7 after an LV syllable or L+V pair
# ==========================================================================
#
# READ THIS BEFORE CHANGING `_compose`:
#
#   * 2C IS THE REVERSE DIRECTION FROM 2B. A fix aimed only at 2B makes 2C
#     worse. This is the trap in this artefact.
#   * 2D is PURE HANGUL — no second script involved — so do not describe the
#     gap as cross-script. It was invisible until the trailers were extended
#     down to U+11A7; they started at U+11A8.
#   * These counts are NOT the size of the gap. They are the size of the
#     intersection between the gap and this corpus. Measured exhaustively
#     rather than over the probe, groups 1, 2A and 2C are 91,200 / >=3,604 /
#     10,773 — three orders of magnitude apart from what the probe finds for
#     group 1. They looked steady across earlier widenings only because those
#     widenings moved the axis 2B feeds on and left the others alone.
#   * 2B does not converge. It diverges for 106 of 125 jamo leads (84.8%).
#
# --- what these are ---
#
# GROUP 1 -- the composition-rule gap documented in `normalize_nfc`: a base, a
# mark, any class-zero character, then a mark of lower class.
#
# GROUPS 2A-2D -- the Hangul routing gap, OpenFn/apollo#655. `_compose` sends
# any cluster containing a Hangul-class character to Python's spec NFC, and OTP
# instead composes onto the cluster lead. That is FOUR mechanisms:
#
#   2A -- a jamo lead followed by a *non-Hangul* two-part vowel (Indic,
#      Sinhala, Balinese). No Hangul syllable involved, which is why it is the
#      least obvious.
#   2B -- a jamo lead followed by a precomposed Hangul syllable, which OTP
#      decomposes because it is not the cluster lead. `U+1113 U+AC00` is
#      `1113,1100,1161` in OTP and `1113,AC00` here.
#   2C -- a jamo lead followed by bare jamo, which we compose into a syllable
#      and OTP leaves apart.
#   2D -- OTP deletes U+11A7 after an LV syllable or an L+V pair, for 100% of
#      the 399 LV syllables. We keep it.
#
# The corpus sweeps the boundary of every range in `name_rules`, plus one
# either side, generated by edges.py — a hand-picked slice never steps across
# an edge, and three rounds running that is where the surviving mutant was.
# It also sweeps the extended jamo blocks (U+A960-A97C lead,
# U+D7B0-D7C6 vowel, U+D7CB-D7FB trailing). It had zero codepoints from all
# three, so narrowing any of the `_HANGUL_*` ranges in `name_rules` left this
# harness at exit 0 while `U+A960 U+1161` went from one grapheme to two.
#
# Ordinary Korean text is unaffected: `한국어`, `안녕하세요` and `환자 등록` all
# round-trip. But 2D is pure Hangul, so do not describe the gap as cross-script.
#
# If you have fixed a group, delete its rows and re-run check.py.
# --- group 1: composition rule (32 rows) ---
41,302,200C,323	1EAC,200C
1131,B140	1131,B140
1131,B1B0	1131,B1B0
1131,B220	1131,B220
1131,B290	1131,B290
1131,B300	1131,B300
1131,B370	1131,B370
1131,B3E0	1131,B3E0
1131,B450	1131,B450
1131,B4C0	1131,B4C0
1131,B530	1131,B530
1131,B5A0	1131,B5A0
1131,B610	1131,B610
1131,B680	1131,B680
1131,B6F0	1131,B6F0
1131,B760	1131,B760
1131,B7D0	1131,B7D0
1131,B840	1131,B840
1131,B8B0	1131,B8B0
1131,B920	1131,B920
1131,B990	1131,B990
1131,BA00	1131,BA00
1131,BA70	1131,BA70
1131,BAE0	1131,BAE0
1131,BB50	1131,BB50
1131,BBC0	1131,BBC0
1131,BC30	1131,BC30
1131,BCA0	1131,BCA0
1131,BD10	1131,BD10
1131,BD80	1131,BD80
1131,BDF0	1131,BDF0
1131,BE60	1131,BE60
1131,BED0	1131,BED0
1131,BF40	1131,BF40
1131,BFB0	1131,BFB0
1131,C020	1131,C020
1131,C090	1131,C090
1131,C100	1131,C100
1131,C170	1131,C170
1131,C1E0	1131,C1E0
1131,C250	1131,C250
1131,C2C0	1131,C2C0
1131,C330	1131,C330
1131,C3A0	1131,C3A0
1131,C410	1131,C410
1131,C480	1131,C480
1131,C4F0	1131,C4F0
1131,C560	1131,C560
1131,C5D0	1131,C5D0
1131,C640	1131,C640
1131,C6B0	1131,C6B0
1131,C720	1131,C720
1131,C790	1131,C790
1131,C800	1131,C800
1131,C870	1131,C870
1131,C8E0	1131,C8E0
1131,C950	1131,C950
1131,C9C0	1131,C9C0
1131,CA30	1131,CA30
1131,CAA0	1131,CAA0
1131,CB10	1131,CB10
1131,CB80	1131,CB80
1131,CBF0	1131,CBF0
1131,CC60	1131,CC60
1131,CCD0	1131,CCD0
1131,CD40	1131,CD40
1131,CDB0	1131,CDB0
1131,CE20	1131,CE20
1131,CE90	1131,CE90
1131,CF00	1131,CF00
1131,CF70	1131,CF70
1131,CFE0	1131,CFE0
1131,D050	1131,D050
1131,D0C0	1131,D0C0
1131,D130	1131,D130
1131,D1A0	1131,D1A0
1131,D210	1131,D210
1131,D280	1131,D280
1131,D2F0	1131,D2F0
1131,D360	1131,D360
1131,D3D0	1131,D3D0
1131,D440	1131,D440
1131,D4B0	1131,D4B0
1131,D520	1131,D520
1131,D590	1131,D590
1131,D600	1131,D600
1131,D670	1131,D670
1131,D6E0	1131,D6E0
1131,D750	1131,D750
1132,AC00	1132,AC00
1132,AC70	1132,AC70
1132,ACE0	1132,ACE0
1132,AD50	1132,AD50
1132,ADC0	1132,ADC0
1132,AE30	1132,AE30
1132,AEA0	1132,AEA0
1132,AF10	1132,AF10
1132,AF80	1132,AF80
1132,AFF0	1132,AFF0
1132,B060	1132,B060
1132,B0D0	1132,B0D0
1132,B140	1132,B140
1132,B1B0	1132,B1B0
1132,B220	1132,B220
1132,B290	1132,B290
1132,B300	1132,B300
1132,B370	1132,B370
1132,B3E0	1132,B3E0
1132,B450	1132,B450
1132,B4C0	1132,B4C0
1132,B530	1132,B530
1132,B5A0	1132,B5A0
1132,B610	1132,B610
1132,B680	1132,B680
1132,B6F0	1132,B6F0
1132,B760	1132,B760
1132,B7D0	1132,B7D0
1132,B840	1132,B840
1132,B8B0	1132,B8B0
1132,B920	1132,B920
1132,B990	1132,B990
1132,BA00	1132,BA00
1132,BA70	1132,BA70
1132,BAE0	1132,BAE0
1132,BB50	1132,BB50
1132,BBC0	1132,BBC0
1132,BC30	1132,BC30
1132,BCA0	1132,BCA0
1132,BD10	1132,BD10
1132,BD80	1132,BD80
1132,BDF0	1132,BDF0
1132,BE60	1132,BE60
1132,BED0	1132,BED0
1132,BF40	1132,BF40
1132,BFB0	1132,BFB0
1132,C020	1132,C020
1132,C090	1132,C090
1132,C100	1132,C100
1132,C170	1132,C170
1132,C1E0	1132,C1E0
1132,C250	1132,C250
1132,C2C0	1132,C2C0
1132,C330	1132,C330
1132,C3A0	1132,C3A0
1132,C410	1132,C410
1132,C480	1132,C480
1132,C4F0	1132,C4F0
1132,C560	1132,C560
1132,C5D0	1132,C5D0
1132,C640	1132,C640
1132,C6B0	1132,C6B0
1132,C720	1132,C720
1132,C790	1132,C790
1132,C800	1132,C800
1132,C870	1132,C870
1132,C8E0	1132,C8E0
1132,C950	1132,C950
1132,C9C0	1132,C9C0
1132,CA30	1132,CA30
1132,CAA0	1132,CAA0
1132,CB10	1132,CB10
1132,CB80	1132,CB80
1132,CBF0	1132,CBF0
1132,CC60	1132,CC60
1132,CCD0	1132,CCD0
1132,CD40	1132,CD40
1132,CDB0	1132,CDB0
1132,CE20	1132,CE20
1132,CE90	1132,CE90
1132,CF00	1132,CF00
1132,CF70	1132,CF70
1132,CFE0	1132,CFE0
1132,D050	1132,D050
1132,D0C0	1132,D0C0
1132,D130	1132,D130
1132,D1A0	1132,D1A0
1132,D210	1132,D210
1132,D280	1132,D280
1132,D2F0	1132,D2F0
1132,D360	1132,D360
1132,D3D0	1132,D3D0
1132,D440	1132,D440
1132,D4B0	1132,D4B0
1132,D520	1132,D520
1132,D590	1132,D590
1132,D600	1132,D600
1132,D670	1132,D670
1132,D6E0	1132,D6E0
1132,D750	1132,D750
1133,AC00	1133,AC00
1133,AC70	1133,AC70
1133,ACE0	1133,ACE0
1133,AD50	1133,AD50
1133,ADC0	1133,ADC0
1133,AE30	1133,AE30
1133,AEA0	1133,AEA0
1133,AF10	1133,AF10
1133,AF80	1133,AF80
1133,AFF0	1133,AFF0
1133,B060	1133,B060
1133,B0D0	1133,B0D0
1133,B140	1133,B140
1133,B1B0	1133,B1B0
1133,B220	1133,B220
1133,B290	1133,B290
1133,B300	1133,B300
1133,B370	1133,B370
1133,B3E0	1133,B3E0
1133,B450	1133,B450
1133,B4C0	1133,B4C0
1133,B530	1133,B530
1133,B5A0	1133,B5A0
1133,B610	1133,B610
1133,B680	1133,B680
1133,B6F0	1133,B6F0
1133,B760	1133,B760
1133,B7D0	1133,B7D0
1133,B840	1133,B840
1133,B8B0	1133,B8B0
1133,B920	1133,B920
1133,B990	1133,B990
1133,BA00	1133,BA00
1133,BA70	1133,BA70
1133,BAE0	1133,BAE0
1133,BB50	1133,BB50
1133,BBC0	1133,BBC0
1133,BC30	1133,BC30
1133,BCA0	1133,BCA0
1133,BD10	1133,BD10
1133,BD80	1133,BD80
1133,BDF0	1133,BDF0
1133,BE60	1133,BE60
1133,BED0	1133,BED0
1133,BF40	1133,BF40
1133,BFB0	1133,BFB0
1133,C020	1133,C020
1133,C090	1133,C090
1133,C100	1133,C100
1133,C170	1133,C170
1133,C1E0	1133,C1E0
1133,C250	1133,C250
1133,C2C0	1133,C2C0
1133,C330	1133,C330
1133,C3A0	1133,C3A0
1133,C410	1133,C410
1133,C480	1133,C480
1133,C4F0	1133,C4F0
1133,C560	1133,C560
1133,C5D0	1133,C5D0
1133,C640	1133,C640
1133,C6B0	1133,C6B0
1133,C720	1133,C720
1133,C790	1133,C790
1133,C800	1133,C800
1133,C870	1133,C870
1133,C8E0	1133,C8E0
1133,C950	1133,C950
1133,C9C0	1133,C9C0
1133,CA30	1133,CA30
1133,CAA0	1133,CAA0
1133,CB10	1133,CB10
1133,CB80	1133,CB80
1133,CBF0	1133,CBF0
1133,CC60	1133,CC60
1133,CCD0	1133,CCD0
1133,CD40	1133,CD40
1133,CDB0	1133,CDB0
1133,CE20	1133,CE20
1133,CE90	1133,CE90
1133,CF00	1133,CF00
1133,CF70	1133,CF70
1133,CFE0	1133,CFE0
1133,D050	1133,D050
1133,D0C0	1133,D0C0
1133,D130	1133,D130
1133,D1A0	1133,D1A0
1133,D210	1133,D210
1133,D280	1133,D280
1133,D2F0	1133,D2F0
1133,D360	1133,D360
1133,D3D0	1133,D3D0
1133,D440	1133,D440
1133,D4B0	1133,D4B0
1133,D520	1133,D520
1133,D590	1133,D590
1133,D600	1133,D600
1133,D670	1133,D670
1133,D6E0	1133,D6E0
1133,D750	1133,D750
1134,AC00	1134,AC00
1134,AC70	1134,AC70
1134,ACE0	1134,ACE0
1134,AD50	1134,AD50
1134,ADC0	1134,ADC0
1134,AE30	1134,AE30
1134,AEA0	1134,AEA0
1134,AF10	1134,AF10
1134,AF80	1134,AF80
1134,AFF0	1134,AFF0
1134,B060	1134,B060
1134,B0D0	1134,B0D0
1134,B140	1134,B140
1134,B1B0	1134,B1B0
1134,B220	1134,B220
1134,B290	1134,B290
1134,B300	1134,B300
1134,B370	1134,B370
1134,B3E0	1134,B3E0
1134,B450	1134,B450
1134,B4C0	1134,B4C0
1134,B530	1134,B530
1134,B5A0	1134,B5A0
1134,B610	1134,B610
1134,B680	1134,B680
1134,B6F0	1134,B6F0
1134,B760	1134,B760
1134,B7D0	1134,B7D0
1134,B840	1134,B840
1134,B8B0	1134,B8B0
1134,B920	1134,B920
1134,B990	1134,B990
1134,BA00	1134,BA00
1134,BA70	1134,BA70
1134,BAE0	1134,BAE0
1134,BB50	1134,BB50
1134,BBC0	1134,BBC0
1134,BC30	1134,BC30
1134,BCA0	1134,BCA0
1134,BD10	1134,BD10
1134,BD80	1134,BD80
1134,BDF0	1134,BDF0
1134,BE60	1134,BE60
1134,BED0	1134,BED0
1134,BF40	1134,BF40
1134,BFB0	1134,BFB0
1134,C020	1134,C020
1134,C090	1134,C090
1134,C100	1134,C100
1134,C170	1134,C170
1134,C1E0	1134,C1E0
1134,C250	1134,C250
1134,C2C0	1134,C2C0
1134,C330	1134,C330
1134,C3A0	1134,C3A0
1134,C410	1134,C410
1134,C480	1134,C480
1134,C4F0	1134,C4F0
1134,C560	1134,C560
1134,C5D0	1134,C5D0
1134,C640	1134,C640
1134,C6B0	1134,C6B0
1134,C720	1134,C720
1134,C790	1134,C790
1134,C800	1134,C800
1134,C870	1134,C870
1134,C8E0	1134,C8E0
1134,C950	1134,C950
1134,C9C0	1134,C9C0
1134,CA30	1134,CA30
1134,CAA0	1134,CAA0
1134,CB10	1134,CB10
1134,CB80	1134,CB80
1134,CBF0	1134,CBF0
1134,CC60	1134,CC60
1134,CCD0	1134,CCD0
1134,CD40	1134,CD40
1134,CDB0	1134,CDB0
1134,CE20	1134,CE20
1134,CE90	1134,CE90
1134,CF00	1134,CF00
1134,CF70	1134,CF70
1134,CFE0	1134,CFE0
1134,D050	1134,D050
1134,D0C0	1134,D0C0
1134,D130	1134,D130
1134,D1A0	1134,D1A0
1134,D210	1134,D210
1134,D280	1134,D280
1134,D2F0	1134,D2F0
1134,D360	1134,D360
1134,D3D0	1134,D3D0
1134,D440	1134,D440
1134,D4B0	1134,D4B0
1134,D520	1134,D520
1134,D590	1134,D590
1134,D600	1134,D600
1134,D670	1134,D670
1134,D6E0	1134,D6E0
1134,D750	1134,D750
1135,AC00	1135,AC00
1135,AC70	1135,AC70
1135,ACE0	1135,ACE0
1135,AD50	1135,AD50
1135,ADC0	1135,ADC0
1135,AE30	1135,AE30
1135,AEA0	1135,AEA0
1135,AF10	1135,AF10
1135,AF80	1135,AF80
1135,AFF0	1135,AFF0
1135,B060	1135,B060
1135,B0D0	1135,B0D0
1135,B140	1135,B140
1135,B1B0	1135,B1B0
1135,B220	1135,B220
1135,B290	1135,B290
1135,B300	1135,B300
1135,B370	1135,B370
1135,B3E0	1135,B3E0
1135,B450	1135,B450
1135,B4C0	1135,B4C0
1135,B530	1135,B530
1135,B5A0	1135,B5A0
1135,B610	1135,B610
1135,B680	1135,B680
1135,B6F0	1135,B6F0
1135,B760	1135,B760
1135,B7D0	1135,B7D0
1135,B840	1135,B840
1135,B8B0	1135,B8B0
1135,B920	1135,B920
1135,B990	1135,B990
1135,BA00	1135,BA00
1135,BA70	1135,BA70
1135,BAE0	1135,BAE0
1135,BB50	1135,BB50
1135,BBC0	1135,BBC0
1135,BC30	1135,BC30
1135,BCA0	1135,BCA0
1135,BD10	1135,BD10
1135,BD80	1135,BD80
1135,BDF0	1135,BDF0
1135,BE60	1135,BE60
1135,BED0	1135,BED0
1135,BF40	1135,BF40
1135,BFB0	1135,BFB0
1135,C020	1135,C020
1135,C090	1135,C090
1135,C100	1135,C100
1135,C170	1135,C170
1135,C1E0	1135,C1E0
1135,C250	1135,C250
1135,C2C0	1135,C2C0
1135,C330	1135,C330
1135,C3A0	1135,C3A0
1135,C410	1135,C410
1135,C480	1135,C480
1135,C4F0	1135,C4F0
1135,C560	1135,C560
1135,C5D0	1135,C5D0
1135,C640	1135,C640
1135,C6B0	1135,C6B0
1135,C720	1135,C720
1135,C790	1135,C790
1135,C800	1135,C800
1135,C870	1135,C870
1135,C8E0	1135,C8E0
1135,C950	1135,C950
1135,C9C0	1135,C9C0
1135,CA30	1135,CA30
1135,CAA0	1135,CAA0
1135,CB10	1135,CB10
1135,CB80	1135,CB80
1135,CBF0	1135,CBF0
1135,CC60	1135,CC60
1135,CCD0	1135,CCD0
1135,CD40	1135,CD40
1135,CDB0	1135,CDB0
1135,CE20	1135,CE20
1135,CE90	1135,CE90
1135,CF00	1135,CF00
1135,CF70	1135,CF70
1135,CFE0	1135,CFE0
1135,D050	1135,D050
1135,D0C0	1135,D0C0
1135,D130	1135,D130
1135,D1A0	1135,D1A0
1135,D210	1135,D210
1135,D280	1135,D280
1135,D2F0	1135,D2F0
1135,D360	1135,D360
1135,D3D0	1135,D3D0
1135,D440	1135,D440
1135,D4B0	1135,D4B0
1135,D520	1135,D520
1135,D590	1135,D590
1135,D600	1135,D600
1135,D670	1135,D670
1135,D6E0	1135,D6E0
1135,D750	1135,D750
1136,AC00	1136,AC00
1136,AC70	1136,AC70
1136,ACE0	1136,ACE0
1136,AD50	1136,AD50
1136,ADC0	1136,ADC0
1136,AE30	1136,AE30
1136,AEA0	1136,AEA0
1136,AF10	1136,AF10
1136,AF80	1136,AF80
1136,AFF0	1136,AFF0
1136,B060	1136,B060
1136,B0D0	1136,B0D0
1136,B140	1136,B140
1136,B1B0	1136,B1B0
1136,B220	1136,B220
1136,B290	1136,B290
1136,B300	1136,B300
1136,B370	1136,B370
1136,B3E0	1136,B3E0
1136,B450	1136,B450
1136,B4C0	1136,B4C0
1136,B530	1136,B530
1136,B5A0	1136,B5A0
1136,B610	1136,B610
1136,B680	1136,B680
1136,B6F0	1136,B6F0
1136,B760	1136,B760
1136,B7D0	1136,B7D0
1136,B840	1136,B840
1136,B8B0	1136,B8B0
1136,B920	1136,B920
1136,B990	1136,B990
1136,BA00	1136,BA00
1136,BA70	1136,BA70
1136,BAE0	1136,BAE0
1136,BB50	1136,BB50
1136,BBC0	1136,BBC0
1136,BC30	1136,BC30
1136,BCA0	1136,BCA0
1136,BD10	1136,BD10
1136,BD80	1136,BD80
1136,BDF0	1136,BDF0
1136,BE60	1136,BE60
1136,BED0	1136,BED0
1136,BF40	1136,BF40
1136,BFB0	1136,BFB0
1136,C020	1136,C020
1136,C090	1136,C090
1136,C100	1136,C100
1136,C170	1136,C170
1136,C1E0	1136,C1E0
1136,C250	1136,C250
1136,C2C0	1136,C2C0
1136,C330	1136,C330
1136,C3A0	1136,C3A0
1136,C410	1136,C410
1136,C480	1136,C480
1136,C4F0	1136,C4F0
1136,C560	1136,C560
1136,C5D0	1136,C5D0
1136,C640	1136,C640
1136,C6B0	1136,C6B0
1136,C720	1136,C720
1136,C790	1136,C790
1136,C800	1136,C800
1136,C870	1136,C870
1136,C8E0	1136,C8E0
1136,C950	1136,C950
1136,C9C0	1136,C9C0
1136,CA30	1136,CA30
1136,CAA0	1136,CAA0
1136,CB10	1136,CB10
1136,CB80	1136,CB80
1136,CBF0	1136,CBF0
1136,CC60	1136,CC60
1136,CCD0	1136,CCD0
1136,CD40	1136,CD40
1136,CDB0	1136,CDB0
1136,CE20	1136,CE20
1136,CE90	1136,CE90
1136,CF00	1136,CF00
1136,CF70	1136,CF70
1136,CFE0	1136,CFE0
1136,D050	1136,D050
1136,D0C0	1136,D0C0
1136,D130	1136,D130
1136,D1A0	1136,D1A0
1136,D210	1136,D210
1136,D280	1136,D280
1136,D2F0	1136,D2F0
1136,D360	1136,D360
1136,D3D0	1136,D3D0
1136,D440	1136,D440
1136,D4B0	1136,D4B0
1136,D520	1136,D520
1136,D590	1136,D590
1136,D600	1136,D600
1136,D670	1136,D670
1136,D6E0	1136,D6E0
1136,D750	1136,D750
1137,AC00	1137,AC00
1137,AC70	1137,AC70
1137,ACE0	1137,ACE0
1137,AD50	1137,AD50
1137,ADC0	1137,ADC0
1137,AE30	1137,AE30
1137,AEA0	1137,AEA0
1137,AF10	1137,AF10
1137,AF80	1137,AF80
1137,AFF0	1137,AFF0
1137,B060	1137,B060
1137,B0D0	1137,B0D0
1137,B140	1137,B140
1137,B1B0	1137,B1B0
1137,B220	1137,B220
1137,B290	1137,B290
1137,B300	1137,B300
1137,B370	1137,B370
1137,B3E0	1137,B3E0
1137,B450	1137,B450
1137,B4C0	1137,B4C0
1137,B530	1137,B530
1137,B5A0	1137,B5A0
1137,B610	1137,B610
1137,B680	1137,B680
1137,B6F0	1137,B6F0
1137,B760	1137,B760
1137,B7D0	1137,B7D0
1137,B840	1137,B840
1137,B8B0	1137,B8B0
1137,B920	1137,B920
1137,B990	1137,B990
1137,BA00	1137,BA00
1137,BA70	1137,BA70
1137,BAE0	1137,BAE0
1137,BB50	1137,BB50
1137,BBC0	1137,BBC0
1137,BC30	1137,BC30
1137,BCA0	1137,BCA0
1137,BD10	1137,BD10
1137,BD80	1137,BD80
1137,BDF0	1137,BDF0
1137,BE60	1137,BE60
1137,BED0	1137,BED0
1137,BF40	1137,BF40
1137,BFB0	1137,BFB0
1137,C020	1137,C020
1137,C090	1137,C090
1137,C100	1137,C100
1137,C170	1137,C170
1137,C1E0	1137,C1E0
1137,C250	1137,C250
1137,C2C0	1137,C2C0
1137,C330	1137,C330
1137,C3A0	1137,C3A0
1137,C410	1137,C410
1137,C480	1137,C480
1137,C4F0	1137,C4F0
1137,C560	1137,C560
1137,C5D0	1137,C5D0
1137,C640	1137,C640
1137,C6B0	1137,C6B0
1137,C720	1137,C720
1137,C790	1137,C790
1137,C800	1137,C800
1137,C870	1137,C870
1137,C8E0	1137,C8E0
1137,C950	1137,C950
1137,C9C0	1137,C9C0
1137,CA30	1137,CA30
1137,CAA0	1137,CAA0
1137,CB10	1137,CB10
1137,CB80	1137,CB80
1137,CBF0	1137,CBF0
1137,CC60	1137,CC60
1137,CCD0	1137,CCD0
1137,CD40	1137,CD40
1137,CDB0	1137,CDB0
1137,CE20	1137,CE20
1137,CE90	1137,CE90
1137,CF00	1137,CF00
1137,CF70	1137,CF70
1137,CFE0	1137,CFE0
1137,D050	1137,D050
1137,D0C0	1137,D0C0
1137,D130	1137,D130
1137,D1A0	1137,D1A0
1137,D210	1137,D210
1137,D280	1137,D280
1137,D2F0	1137,D2F0
1137,D360	1137,D360
1137,D3D0	1137,D3D0
1137,D440	1137,D440
1137,D4B0	1137,D4B0
1137,D520	1137,D520
1137,D590	1137,D590
1137,D600	1137,D600
1137,D670	1137,D670
1137,D6E0	1137,D6E0
1137,D750	1137,D750
1138,AC00	1138,AC00
1138,AC70	1138,AC70
1138,ACE0	1138,ACE0
1138,AD50	1138,AD50
1138,ADC0	1138,ADC0
1138,AE30	1138,AE30
1138,AEA0	1138,AEA0
1138,AF10	1138,AF10
1138,AF80	1138,AF80
1138,AFF0	1138,AFF0
1138,B060	1138,B060
1138,B0D0	1138,B0D0
1138,B140	1138,B140
1138,B1B0	1138,B1B0
1138,B220	1138,B220
1138,B290	1138,B290
1138,B300	1138,B300
1138,B370	1138,B370
1138,B3E0	1138,B3E0
1138,B450	1138,B450
1138,B4C0	1138,B4C0
1138,B530	1138,B530
1138,B5A0	1138,B5A0
1138,B610	1138,B610
1138,B680	1138,B680
1138,B6F0	1138,B6F0
1138,B760	1138,B760
1138,B7D0	1138,B7D0
1138,B840	1138,B840
1138,B8B0	1138,B8B0
1138,B920	1138,B920
1138,B990	1138,B990
1138,BA00	1138,BA00
1138,BA70	1138,BA70
1138,BAE0	1138,BAE0
1138,BB50	1138,BB50
1138,BBC0	1138,BBC0
1138,BC30	1138,BC30
1138,BCA0	1138,BCA0
1138,BD10	1138,BD10
1138,BD80	1138,BD80
1138,BDF0	1138,BDF0
1138,BE60	1138,BE60
1138,BED0	1138,BED0
1138,BF40	1138,BF40
1138,BFB0	1138,BFB0
1138,C020	1138,C020
1138,C090	1138,C090
1138,C100	1138,C100
1138,C170	1138,C170
1138,C1E0	1138,C1E0
1138,C250	1138,C250
1138,C2C0	1138,C2C0
1138,C330	1138,C330
1138,C3A0	1138,C3A0
1138,C410	1138,C410
1138,C480	1138,C480
1138,C4F0	1138,C4F0
1138,C560	1138,C560
1138,C5D0	1138,C5D0
1138,C640	1138,C640
1138,C6B0	1138,C6B0
1138,C720	1138,C720
1138,C790	1138,C790
1138,C800	1138,C800
1138,C870	1138,C870
1138,C8E0	1138,C8E0
1138,C950	1138,C950
1138,C9C0	1138,C9C0
1138,CA30	1138,CA30
1138,CAA0	1138,CAA0
1138,CB10	1138,CB10
1138,CB80	1138,CB80
1138,CBF0	1138,CBF0
1138,CC60	1138,CC60
1138,CCD0	1138,CCD0
1138,CD40	1138,CD40
1138,CDB0	1138,CDB0
1138,CE20	1138,CE20
1138,CE90	1138,CE90
1138,CF00	1138,CF00
1138,CF70	1138,CF70
1138,CFE0	1138,CFE0
1138,D050	1138,D050
1138,D0C0	1138,D0C0
1138,D130	1138,D130
1138,D1A0	1138,D1A0
1138,D210	1138,D210
1138,D280	1138,D280
1138,D2F0	1138,D2F0
1138,D360	1138,D360
1138,D3D0	1138,D3D0
1138,D440	1138,D440
1138,D4B0	1138,D4B0
1138,D520	1138,D520
1138,D590	1138,D590
1138,D600	1138,D600
1138,D670	1138,D670
1138,D6E0	1138,D6E0
1138,D750	1138,D750
1139,AC00	1139,AC00
1139,AC70	1139,AC70
1139,ACE0	1139,ACE0
1139,AD50	1139,AD50
1139,ADC0	1139,ADC0
1139,AE30	1139,AE30
1139,AEA0	1139,AEA0
1139,AF10	1139,AF10
1139,AF80	1139,AF80
1139,AFF0	1139,AFF0
1139,B060	1139,B060
1139,B0D0	1139,B0D0
1139,B140	1139,B140
1139,B1B0	1139,B1B0
1139,B220	1139,B220
1139,B290	1139,B290
1139,B300	1139,B300
1139,B370	1139,B370
1139,B3E0	1139,B3E0
1139,B450	1139,B450
1139,B4C0	1139,B4C0
1139,B530	1139,B530
1139,B5A0	1139,B5A0
1139,B610	1139,B610
1139,B680	1139,B680
1139,B6F0	1139,B6F0
1139,B760	1139,B760
1139,B7D0	1139,B7D0
1139,B840	1139,B840
1139,B8B0	1139,B8B0
1139,B920	1139,B920
1139,B990	1139,B990
1139,BA00	1139,BA00
1139,BA70	1139,BA70
1139,BAE0	1139,BAE0
1139,BB50	1139,BB50
1139,BBC0	1139,BBC0
1139,BC30	1139,BC30
1139,BCA0	1139,BCA0
1139,BD10	1139,BD10
1139,BD80	1139,BD80
1139,BDF0	1139,BDF0
1139,BE60	1139,BE60
1139,BED0	1139,BED0
1139,BF40	1139,BF40
1139,BFB0	1139,BFB0
1139,C020	1139,C020
1139,C090	1139,C090
1139,C100	1139,C100
1139,C170	1139,C170
1139,C1E0	1139,C1E0
1139,C250	1139,C250
1139,C2C0	1139,C2C0
1139,C330	1139,C330
1139,C3A0	1139,C3A0
1139,C410	1139,C410
1139,C480	1139,C480
1139,C4F0	1139,C4F0
1139,C560	1139,C560
1139,C5D0	1139,C5D0
1139,C640	1139,C640
1139,C6B0	1139,C6B0
1139,C720	1139,C720
1139,C790	1139,C790
1139,C800	1139,C800
1139,C870	1139,C870
1139,C8E0	1139,C8E0
1139,C950	1139,C950
1139,C9C0	1139,C9C0
1139,CA30	1139,CA30
1139,CAA0	1139,CAA0
1139,CB10	1139,CB10
1139,CB80	1139,CB80
1139,CBF0	1139,CBF0
1139,CC60	1139,CC60
1139,CCD0	1139,CCD0
1139,CD40	1139,CD40
1139,CDB0	1139,CDB0
1139,CE20	1139,CE20
1139,CE90	1139,CE90
1139,CF00	1139,CF00
1139,CF70	1139,CF70
1139,CFE0	1139,CFE0
1139,D050	1139,D050
1139,D0C0	1139,D0C0
1139,D130	1139,D130
1139,D1A0	1139,D1A0
1139,D210	1139,D210
1139,D280	1139,D280
1139,D2F0	1139,D2F0
1139,D360	1139,D360
1139,D3D0	1139,D3D0
1139,D440	1139,D440
1139,D4B0	1139,D4B0
1139,D520	1139,D520
1139,D590	1139,D590
